"COLUMNNAME","COLUMNTITLE","COLUMNTYPE","MATCH","POSSIBLEVALUES","MAXLENGTH","GLOSS","FIELD","DEFAULT","DEFAULTIFMISSING","VALIDATE","UIMAFEATURE","UIMADESCRIPTION","COLUMNORDER","COLUMNWIDTH"
"COL1","Zelfvertrouwen","NormalForm","false","","30000","CutPasteGloss","Lemma","1000","","notnull","","","1","130",
"COL2","Part of Speech","Keyword","false","X=Unknown,P=Pronoun,V=Verb,N=Noun,J=Adjective,A=Adverb,R=Adposition,I=Interjection,C=Conjunction,D=Determiner,Q=Quantifier","255","FeatureSetGloss","WordClass","N","","","","","2","130",
"COL3","Polariteit","Keyword","false","neutral=neutral,positive=positive,negative=negative","255","user.ZelfvertrouwenGloss","Polariteit","neutral","","","polariteit","","3","100",
